Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Smiles,pChEMBL Value
CHEMBL560558,451.51,0,2.58,COc1ccccc1Cn1c(Nc2ccc(S(N)(=O)=O)cc2)nc2cc(C(N)=O)ccc21,4.7
CHEMBL208226,348.49,0,4.86,Cc1ccc2c(c1C)CN(C(=O)N1CCCCC1)CC2c1ccccc1,4.89
CHEMBL204411,295.38,0,4.02,COC(=O)N1Cc2c(ccc(C)c2C)C(c2ccccc2)C1,4.84
CHEMBL204372,341.45,1,5.09,Cc1ccc2c(c1C)CN(C(=O)c1ccccc1)CC2c1ccccc1,4.79
CHEMBL205786,324.42,0,3.64,Cc1ccc2c(c1C)CN(C(=O)N(C)C)C[C@@H]2c1cccc(O)c1,6.98
CHEMBL1089393,299.8,0,4.97,Clc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,6.14
CHEMBL1084391,328.48,1,5.08,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1nccs1)N2,6.28
CHEMBL1084392,322.45,1,5.01,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccnc1)N2,5.96
CHEMBL1085895,463.5,0,4.39,O=C(NCCCO)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,7.96
CHEMBL206115,370.4,0,3.37,N[C@H](C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1)C1CC1,9.3
CHEMBL377073,365.26,0,4.33,CN(C)C(=O)N1Cc2c(ccc(Cl)c2Cl)C(c2cccc(O)c2)C1,5.9
CHEMBL3680849,529.6,2,5.06,C[C@H](O)C(=O)N(C[C@@H]1CNC[C@@H]1F)[C@@H](c1nc(-c2cc(F)ccc2F)oc1Cc1ccccc1)C(C)(C)C,8.14
CHEMBL377566,386.45,0,3.69,CN(C)C(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN)c1ccccc1,8.7
CHEMBL240704,429.49,0,4.64,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CC[C@H](F)C1)c1ccccc1,9
CHEMBL1818753,425.53,0,4.24,CN1CCN(c2ccc3[nH]c(-c4ccc(O)cc4)c(Cc4ccccc4)c(=O)c3c2)CC1,5.83
